number of diffcul patients,
תאריך,מספר חולים
02-03-2020,0
03-03-2020,0
04-03-2020,0
05-03-2020,1
06-03-2020,2
07-03-2020,3
08-03-2020,5
09-03-2020,5
10-03-2020,6
11-03-2020,7
12-03-2020,7
13-03-2020,7
14-03-2020,6
15-03-2020,9
16-03-2020,11
17-03-2020,12
18-03-2020,16
19-03-2020,21
20-03-2020,23
21-03-2020,27
22-03-2020,38
23-03-2020,44
24-03-2020,48
25-03-2020,52
26-03-2020,56
27-03-2020,67
28-03-2020,70
29-03-2020,80
30-03-2020,90
31-03-2020,98
01-04-2020,111
02-04-2020,113
03-04-2020,131
04-04-2020,140
05-04-2020,135
06-04-2020,147
07-04-2020,160
08-04-2020,166
09-04-2020,166
10-04-2020,170
11-04-2020,182
12-04-2020,177
13-04-2020,192
14-04-2020,178
15-04-2020,179
16-04-2020,182
17-04-2020,165
18-04-2020,174
19-04-2020,157
20-04-2020,154
21-04-2020,145
22-04-2020,149
23-04-2020,146
24-04-2020,144
25-04-2020,136
26-04-2020,142
27-04-2020,132
28-04-2020,127
29-04-2020,122
30-04-2020,112
01-05-2020,109
02-05-2020,111
03-05-2020,101
04-05-2020,97
05-05-2020,91
06-05-2020,88
07-05-2020,84
08-05-2020,78
09-05-2020,78
10-05-2020,74
11-05-2020,69
12-05-2020,65
13-05-2020,61
14-05-2020,61
15-05-2020,61
16-05-2020,60
17-05-2020,55
18-05-2020,52
19-05-2020,51
20-05-2020,46
21-05-2020,47
22-05-2020,46
23-05-2020,46
24-05-2020,43
25-05-2020,41
26-05-2020,36
27-05-2020,40
28-05-2020,36
29-05-2020,39
30-05-2020,35
31-05-2020,35
01-06-2020,32
02-06-2020,29
03-06-2020,28
04-06-2020,30
05-06-2020,29
06-06-2020,29
07-06-2020,29
08-06-2020,30
09-06-2020,31
10-06-2020,32
11-06-2020,35
12-06-2020,35
13-06-2020,35
14-06-2020,31
15-06-2020,36
16-06-2020,38
17-06-2020,36
18-06-2020,40
19-06-2020,39
20-06-2020,41
21-06-2020,45
22-06-2020,43
23-06-2020,40
24-06-2020,45
25-06-2020,44
26-06-2020,45
27-06-2020,40
28-06-2020,39
29-06-2020,44
30-06-2020,56
01-07-2020,59
02-07-2020,72
03-07-2020,83
04-07-2020,85
05-07-2020,94
06-07-2020,90
07-07-2020,93
08-07-2020,113
09-07-2020,126
10-07-2020,131
11-07-2020,136
12-07-2020,151
13-07-2020,184
14-07-2020,190
15-07-2020,209
16-07-2020,209
17-07-2020,219
18-07-2020,235
19-07-2020,270
20-07-2020,264
21-07-2020,256
22-07-2020,284
23-07-2020,310
24-07-2020,328
25-07-2020,321
26-07-2020,311
27-07-2020,316
28-07-2020,322
29-07-2020,335
30-07-2020,318
31-07-2020,317
01-08-2020,337
02-08-2020,349
03-08-2020,328
04-08-2020,341
05-08-2020,354
06-08-2020,356
07-08-2020,366
08-08-2020,387
09-08-2020,386
10-08-2020,391
11-08-2020,372
12-08-2020,370
13-08-2020,371
14-08-2020,368
15-08-2020,382
16-08-2020,374
17-08-2020,392
18-08-2020,397
19-08-2020,382
20-08-2020,393
21-08-2020,400
22-08-2020,403
23-08-2020,405
24-08-2020,424
25-08-2020,426
26-08-2020,417
27-08-2020,422
28-08-2020,416
29-08-2020,438
30-08-2020,452
31-08-2020,434
01-09-2020,417
02-09-2020,415
03-09-2020,403
04-09-2020,415
05-09-2020,437
06-09-2020,455
07-09-2020,456
08-09-2020,462
09-09-2020,484
10-09-2020,488
11-09-2020,487
12-09-2020,514
13-09-2020,518
14-09-2020,524
15-09-2020,514
16-09-2020,528
17-09-2020,565
18-09-2020,588
19-09-2020,611
20-09-2020,629
21-09-2020,654
22-09-2020,633
23-09-2020,667
24-09-2020,660
25-09-2020,705
26-09-2020,718
27-09-2020,730
28-09-2020,757
29-09-2020,796
30-09-2020,819
01-10-2020,812
02-10-2020,847
03-10-2020,843
04-10-2020,897
05-10-2020,870
06-10-2020,853
07-10-2020,848
08-10-2020,840
09-10-2020,832
10-10-2020,812
11-10-2020,810
12-10-2020,801
13-10-2020,764
14-10-2020,726
15-10-2020,700
16-10-2020,658
17-10-2020,647
18-10-2020,659
19-10-2020,643
20-10-2020,626
21-10-2020,605
22-10-2020,588
23-10-2020,559
24-10-2020,538
25-10-2020,509
26-10-2020,492
27-10-2020,476
28-10-2020,463
29-10-2020,445
30-10-2020,428
31-10-2020,409
