number of positive tests,
תאריך,אחוז מאומתים
20-02-2020,0
21-02-2020,3.6
22-02-2020,0
23-02-2020,0
24-02-2020,1.4
25-02-2020,0
26-02-2020,0
27-02-2020,0.6
28-02-2020,2.5
29-02-2020,0
01-03-2020,0.6
02-03-2020,2.9
03-03-2020,1.3
04-03-2020,0
05-03-2020,1.2
06-03-2020,1.5
07-03-2020,1.2
08-03-2020,2.2
09-03-2020,0.8
10-03-2020,6.7
11-03-2020,5.1
12-03-2020,3.7
13-03-2020,5.1
14-03-2020,4.7
15-03-2020,3.5
16-03-2020,5.5
17-03-2020,6
18-03-2020,5.9
19-03-2020,6.9
20-03-2020,7.5
21-03-2020,10.2
22-03-2020,7.9
23-03-2020,10.1
24-03-2020,9.1
25-03-2020,7.3
26-03-2020,8.3
27-03-2020,7.8
28-03-2020,8.7
29-03-2020,7.4
30-03-2020,8
31-03-2020,9.8
01-04-2020,8.1
02-04-2020,7.6
03-04-2020,6.1
04-04-2020,7.1
05-04-2020,6.6
06-04-2020,6.7
07-04-2020,6.1
08-04-2020,6.8
09-04-2020,6.9
10-04-2020,5.7
11-04-2020,6
12-04-2020,6.5
13-04-2020,4.8
14-04-2020,3.6
15-04-2020,4
16-04-2020,2.6
17-04-2020,3
18-04-2020,3.2
19-04-2020,2.8
20-04-2020,2.2
21-04-2020,2.4
22-04-2020,1.9
23-04-2020,2.3
24-04-2020,2.4
25-04-2020,2.2
26-04-2020,1.1
27-04-2020,1.4
28-04-2020,1.8
29-04-2020,1.1
30-04-2020,1.7
01-05-2020,1.3
02-05-2020,1.2
03-05-2020,0.4
04-05-2020,0.7
05-05-2020,0.4
06-05-2020,0.8
07-05-2020,0.7
08-05-2020,0.5
09-05-2020,0.5
10-05-2020,0.7
11-05-2020,0.5
12-05-2020,0.3
13-05-2020,0.5
14-05-2020,0.3
15-05-2020,0.2
16-05-2020,0.4
17-05-2020,0.4
18-05-2020,0.4
19-05-2020,0.3
20-05-2020,0.3
21-05-2020,0.3
22-05-2020,0.4
23-05-2020,0.7
24-05-2020,0.4
25-05-2020,0.5
26-05-2020,0.8
27-05-2020,0.6
28-05-2020,1.5
29-05-2020,6.3
30-05-2020,2.8
31-05-2020,1.6
01-06-2020,1.3
02-06-2020,1
03-06-2020,0.7
04-06-2020,1
05-06-2020,0.8
06-06-2020,0.7
07-06-2020,0.9
08-06-2020,1.2
09-06-2020,1.2
10-06-2020,1.3
11-06-2020,1.2
12-06-2020,1.4
13-06-2020,2.2
14-06-2020,1.6
15-06-2020,1.4
16-06-2020,1.9
17-06-2020,1.7
18-06-2020,1.8
19-06-2020,2.5
20-06-2020,2.8
21-06-2020,1.9
22-06-2020,2.6
23-06-2020,2.4
24-06-2020,2.7
25-06-2020,2.9
26-06-2020,2.9
27-06-2020,4
28-06-2020,3.9
29-06-2020,3.7
30-06-2020,3.9
01-07-2020,4.7
02-07-2020,4.7
03-07-2020,4.6
04-07-2020,4.9
05-07-2020,4.1
06-07-2020,4.6
07-07-2020,5
08-07-2020,4.6
09-07-2020,5.3
10-07-2020,5.7
11-07-2020,6.1
12-07-2020,6.1
13-07-2020,6.3
14-07-2020,5.3
15-07-2020,6.7
16-07-2020,6.8
17-07-2020,6.8
18-07-2020,8
19-07-2020,5.7
20-07-2020,7.7
21-07-2020,7.5
22-07-2020,7.9
23-07-2020,6.8
24-07-2020,8.1
25-07-2020,7.6
26-07-2020,9.1
27-07-2020,7.5
28-07-2020,8.2
29-07-2020,7.7
30-07-2020,8.4
31-07-2020,6.2
01-08-2020,8.4
02-08-2020,7.4
03-08-2020,8
04-08-2020,6.9
05-08-2020,6.8
06-08-2020,6
07-08-2020,7.2
08-08-2020,9.3
09-08-2020,8
10-08-2020,7.3
11-08-2020,6.9
12-08-2020,6.4
13-08-2020,5.9
14-08-2020,6.9
15-08-2020,8.5
16-08-2020,9.2
17-08-2020,6.6
18-08-2020,6.2
19-08-2020,6
20-08-2020,5.3
21-08-2020,5.7
22-08-2020,6.8
23-08-2020,7.7
24-08-2020,6.6
25-08-2020,6
26-08-2020,5.9
27-08-2020,5.9
28-08-2020,8.2
29-08-2020,8.9
30-08-2020,8.5
31-08-2020,7.1
01-09-2020,8.2
02-09-2020,9.2
03-09-2020,7.8
04-09-2020,8.5
05-09-2020,9.8
06-09-2020,11.6
07-09-2020,8.5
08-09-2020,7.9
09-09-2020,8.9
10-09-2020,8.8
11-09-2020,9.3
12-09-2020,9.1
13-09-2020,9.4
14-09-2020,10.4
15-09-2020,9.8
16-09-2020,8.6
17-09-2020,9.4
18-09-2020,10
19-09-2020,9.1
20-09-2020,11
21-09-2020,11.6
22-09-2020,11.5
23-09-2020,12.3
24-09-2020,12.4
25-09-2020,13.7
26-09-2020,13.1
27-09-2020,14.1
28-09-2020,15.1
29-09-2020,15
30-09-2020,13.4
01-10-2020,12.1
02-10-2020,11.8
03-10-2020,11
04-10-2020,11.8
05-10-2020,11.5
06-10-2020,10.6
07-10-2020,9
08-10-2020,8
09-10-2020,8.4
10-10-2020,7.5
11-10-2020,7.7
12-10-2020,7.1
13-10-2020,5.5
14-10-2020,5.5
15-10-2020,4.5
16-10-2020,4.6
17-10-2020,2.9
18-10-2020,3.5
19-10-2020,3.8
20-10-2020,2.9
21-10-2020,2.8
22-10-2020,3.1
23-10-2020,2.9
24-10-2020,3.9
25-10-2020,2.9
26-10-2020,2.2
27-10-2020,2.2
28-10-2020,2.1
29-10-2020,1.8
30-10-2020,2.1
31-10-2020,3
